index,question,answers
462,What is the distribution company of Apocalypse Now?,"['Miramax', 'StudioCanal', 'Lions Gate Entertainment', 'StudioCanal UK', 'Paramount Pictures', 'United Artists']"
463,who was the art director for Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,['Peter Murton']
464,Where was Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb shot?,"['Shepperton Studios', 'London', 'Greenland', 'Iceland', 'Rocky Mountains', 'London Heathrow Airport', 'Banff National Park']"
465,What is the distribution company of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?,['Columbia Pictures']
466,who was the art director for The Prestige?,['Kevin Kavanaugh']
467,What is the duration of The Prestige?,['130.0']
468,What is the rating of The Prestige,['PG-13 (USA)']
469,who is the producer of Alien?,"['Walter Hill', 'David Giler', 'Gordon Carroll']"
470,What is the duration of Alien?,"['116.0', '117.0']"
471,What is the rating of Alien,['R (USA)']
472,who is the producer of The Lion King?,['Don Hahn']
473,What is the duration of The Lion King?,"['88.0', '89.0']"
474,who is the star in The Great Dictator?,"['Paul Weigel', 'Reginald Gardiner', 'Chester Conklin', 'Jack Oakie', 'Paulette Goddard', 'Billy Gilbert', 'Carter DeHaven', 'Henry Daniell', 'Charlie Chaplin', 'Emma Dunn', 'Maurice Moscovitch', 'Esther Michelson', 'Grace Hayle', 'Hank Mann', 'Bernard Gorcey']"
475,who performed the cinematography of The Great Dictator?,"['Karl Struss', 'Roland Totheroh']"
476,How much was the budget of The Great Dictator?,['2000000.0']
477,Whose is The Lives of Others?,['Florian Henckel von Donnersmarck']
478,how long is The Lives of Others?,"['137.0', '138.0']"
479,What gentre is The Lives of Others?,"['Drama', 'Thriller']"
480,who performed the cinematography of Cinema Paradiso?,['Blasco Giurato']
481,Where was Cinema Paradiso made?,['Cefalù']
482,when was Cinema Paradiso released?,['1988-09-29']
483,who made the music for The Shining?,"['Wendy Carlos', 'Rachel Elkind-Tourre']"
484,What was the shooting location of The Shining?,"['London', 'Yosemite National Park', 'Glacier National Park', 'Elstree Studios', 'Timberline Lodge']"
485,What kind a movie is The Shining?,"['Horror', 'Mystery', 'Psychological horror']"
486,how long is Paths of Glory?,"['86.0', '87.0', '88.0']"
487,What genre is Paths of Glory?,"['Drama', 'War film', 'Existentialism', 'Anti-war film']"
488,who stars in The Dark Knight Rises?,"['Wade Williams', 'Chris Hill', 'Charles Jackson Coyne', 'Anthony Farraj', 'Greg Hart', 'Sean P. McCarthy', 'Alex Moore', 'Joseph Rittenhouse', 'James Blankenfeld', 'Corey Brown', ""Joseph O'Brien"", 'Olan Montgomery', 'Grant Babbitt', 'Sam Harris', 'Dan Marcus', 'Morgan Freeman', 'Daina Griffith', 'Michael James Faradie', 'Christopher Watts', 'Tony Alameda', 'Ilan Krigsfeld', 'Robert Leckington', 'Aliash Tepina', 'Fredric Lehne', 'Aja Evans', 'Luke Rutherford', 'John Farrer', 'Josh Stewart', 'Chris Cullen', 'Tiffany Kemp', 'Silvia Lombardo', 'Alessandro Nicolaci', 'Maurkice Pouncey', 'Mitchell Yee', 'Chris Vaina', 'Michael Gucciardo', 'Christopher Bryan Gomez', 'Frank Fata', 'Thomas Tull', 'John Mancini', 'Randall Mcneal', 'Casey Hampton', 'Sun Jae Kim', 'Ryan Green', 'Sharyn Kmieciak', 'Tiffany Sander McKenzie', 'Sophia Gilberto', 'Michael O. Watkins', 'Zackary Kresser', 'Tiffany Bell', 'Steven Butros', 'Joseph Basile', 'Nial Nelson-Hopkins', 'Troy Polamalu', 'LeJon', 'Michael Power', 'Alex Ziwak', 'Michelle Vezzani', 'Matthew Gooley', 'Jake Ramos', 'Barak Shpiez', 'Salomon Passariello', 'Brandon Allentoff', 'Aaron Smith', 'Jeremy Moon', 'Nikolay Yeriomin', 'Joe Kane', 'John Cashin', 'Hines Ward', 'David Michael Plowman', 'Jacob Kalafut', 'Chris Albright', 'William Kania', 'James Avise', 'Matthew Thane', 'David Dale McCue', 'Maria Zambrana', 'Craig Usiak', 'Steve Perry', 'Mark Perrone', ""Michael O'Neill"", 'Adam Piacente', 'Susan Feldbusch', 'Scott Churchson', 'Lucia M. Aguirre', 'Russell Balogh', 'Jase Whitaker', 'Willie Colon', 'Eric Smith', 'Blake Steigerwald', 'Gary Gibbs', 'Quillian Hightower', 'Stephen T. Johnson', 'Heath Miller', 'Graham Brown', 'Tony Amen', 'Kyle McGrath', 'Ken Spassione', 'Daniel R Cooper', 'Frank Hansen', 'Brandon Blackwell', 'Emily Schooley', 'Max Mangel', 'Gus Lewis', 'Franz Strassmann', 'Joshua Lassman', 'Shane Nolan', 'Mike J. McAllister', 'Jason Yee', 'Todd Bobenrieth', 'Vito Grassi', 'Timothy Butts', 'John W. Iwanonkiw', 'Alan Saginian', 'Phil Nardozzi', 'Michael Didriksson', 'Diezel Ramos', 'James Farrior', 'Jonn Faircrest', 'Michael Grand', 'Jackson Nunn', 'Tom Struthers', 'Paul Jude Letersky', 'Lawrence Whitener', 'Luke Oscar Ford', 'Ed Heavey', 'Rafael Zubizarreta', 'Shannon Lanier', 'Colin Snyder', 'Chris Sciacco', 'Eric Salazar', 'Linus Roache', 'Gualberto Del Toro', 'Gary Sievers', 'Jack Mahrt', 'Carl Clemons', 'Bill Cowher', 'James Werley', 'Aaron Eckhart', 'Kevin Tanski', 'Star Bunner', 'Ben Roethlisberger', 'Kyle David Pierce', 'Shawn Farrell', ""Shaun O'Donnell"", ""Diedra Arthur-O'Ree"", 'David Dustin Kenyon', 'Kirsten Roeters', 'Charlie Alejandro', 'Justin Fortmeier', 'Isiah Adams', 'Ruben Dario Cruz II', 'Bryan Lee', 'Nickolas Wiegand', 'Edgar Jimz', 'Allen Merritt', 'Gregory Gillaspie', 'Joseph M. Abbott', 'Ryan Preimesberger', 'Tyler Rumsey', 'Greg Sammis', 'James Rawlings', 'Barbara Vincent', 'Kevin Gurnari', 'London May', 'Sami Tesfay', 'Zachary Scheer', 'Curtis Jermaine', 'Joe Lipari', 'Paul Nandzik', 'Danny Vardanian', 'Rick Bolander', 'Marvin Duerkholz', 'David Nathie Barnes', 'Luke Ravenstahl', 'Cindy Jackson', 'Fileena Bahris', 'Brendan Boyce', 'Matt Cipro', 'Ernest Pierce', 'Michael Papajohn', 'Ryan C. Bogdewic', 'Ryan McCabe', 'Alex Kruz', 'Mike Wallace', 'Ryan Clark', 'Tony Ellis', 'Catya Maré', 'Shindo Ki Rodriguez', 'Jorge Mardel', 'John Zion', 'Kyle Patrick Brennan', 'Scot Cregan', 'Gioacchino Jim Cuffaro', 'Courtney Munch', 'Travis Guba', 'Russ Fega', 'Tomas Arana', 'Joey King', 'Robert Wisdom', 'Joshua Elijah Reese', 'Rory Nolan', 'James Harvey Ward', 'Peter Asle Holden', 'Sam Kennard', 'Juno Temple', 'Vincent van Ommen', 'Aldous Davidson', 'Jillian Armenante', 'Ronnie Gene Blevins', 'Oliver Cotton', 'Aidan Gillen', 'Marion Cotillard', 'Michael Caine', 'Tom Conti', 'Ben Cornish', 'Jake Canuso', 'Brent Briscoe', 'Brett Cullen', 'Hector Atreyu Ruiz', 'Cameron Jack', 'Mark Killeen', 'Daniel Sunjata', 'Chris Ellis', 'Josh Pence', 'Liam Neeson', 'John Nolan', 'Matthew Modine', 'Aldo Bigante', 'David Gyasi', 'Harry Coles', 'Julie Mun', 'Tom Hardy', 'Christian Bale', 'Andres Perez-Molina', 'Claire Pfister', 'Reggie Lee', 'Nestor Carbonell', 'David Dayan Fisher', 'John MacMillan', 'Ian Bohen', 'Miranda Nolan', 'Ben Mendelsohn', 'Max Schuler', 'Desmond Harrington', 'David Monahan', 'Patrick Leahy', 'Todd Gearhart', 'Uri Gavriel', 'Anne Hathaway', 'Thomas Lennon', 'Alon Abutbul', 'Christopher Judge', 'India Wadsworth', 'Phillip Browne', 'William Devane', 'Antwan Lewis', 'John Hollingworth', 'Patrick Cox', 'Massi Furlan', 'Warren Brown', 'Noel Gugliemi', 'Aramis Knight', 'Will Estes', 'Patrick Jordan', 'Gonzalo Menendez', 'Kevin Kiely', 'Lex Daniel', 'Cillian Murphy', 'Burn Gorman', 'Mychael Bates', 'Joseph Gordon-Levitt', 'Sarah Goldberg', 'Daniel Newman', 'Rob Brown', 'Phillip James Griffith', 'Trevor White', 'Glen Powell', 'Jay Benedict', 'Gary Oldman', 'Duane Henry', 'Nick Julian', 'Joseph Lyle Taylor', 'Tyler Dean Flores']"
489,How much was the budget of The Dark Knight Rises?,['250000000.0']
490,what was the release date of The Dark Knight Rises?,['2012-07-16']
491,Whose is WALL·E?,['Andrew Stanton']
492,What was the budget for WALL·E?,['180000000.0']
493,What is the rating of WALL·E,['G (USA)']
494,who is the producer of American Beauty?,"['Bruce Cohen', 'Dan Jinks']"
495,How much was the budget of American Beauty?,['15000000.0']
496,what was the release date of American Beauty?,['1999-09-08']
497,Whose is Grave of the Fireflies?,['Isao Takahata']
498,what was the release date of Grave of the Fireflies?,['1988-04-16']
499,who is the producer of Aliens?,['Gale Anne Hurd']
500,What is the duration of Aliens?,"['137.0', '154.0']"
501,who wrote the script for Citizen Kane?,"['John Houseman', 'Orson Welles', 'Herman J. Mankiewicz', 'Roger Q. Denny', 'Mollie Kent']"
502,who wrote the soundtrack for Citizen Kane?,['Bernard Herrmann']
503,What was the filming location of Citizen Kane?,"['New York City', 'San Diego', 'Los Angeles', 'Pasadena', 'Oheka Castle']"
504,who stars in North by Northwest?,"['Larry Leverett', 'Bert Stevens', 'Martin Landau', 'Baynes Barron', 'Adam Williams', 'Anne Anderson', 'Malcolm Atterbury', 'Paul Genge', 'Frank Baker', 'Ralph Reed', 'Lloyd Williams', 'Arthur Tovey', 'Robert Williams', 'Olan Soule', 'Josephine Forsberg', 'Harry Strang', 'John Beradino', 'Madge Kennedy', 'Lawrence Dobkin', 'Jimmy Cross', 'Susan Whitney', 'Doreen Lang', 'Patricia Cutts', 'Hugh Pryor', 'Bobby Johnson', 'Alexander Lockwood', 'Bill Catching', 'Robert Shayne', 'Lucille Curtis', 'Ray Weaver', 'Tol Avery', 'Ned Glass', 'Kenner G. Kemp', 'Wilson Wood', 'Len Hendry', 'Eugene Jackson', 'Jeffrey Sayre', 'Adolph Faylauer', 'Walter Coy', 'Nora Marlowe', 'Andy Albin', 'Carleton Young', 'Ernest Anderson', 'Frank Wilcox', 'Stephen Bolster', 'Stuart Holmes', 'James McCallion', 'Harvey Stephens', 'Doris Singh', 'Bess Flowers', 'Bob Coe', 'Dale Van Sickel', 'Carl Milletaire', 'Colin Kenny', 'Frank Marlowe', 'Alfred Hitchcock', 'Jeremy Slate', 'Howard Negley', 'Charles Postal', 'Tom Greenway', 'Sally Fraser', 'Taggart Casey', 'John Damler', 'Tom Marshall', 'Scott Seaton', 'Paula Winslowe', 'Helen Spring', 'Maudie Prickett', 'Harry Seymour', 'Sid Kane', 'Jesslyn Fax', 'Tommy Farrell', 'Maura McGiveney', 'Stanley Adams', 'Jack Daly', 'Phillip Coolidge', 'Ken Lynch', 'Edward Binns', 'James Mason', 'Patrick McVey', 'Leo G. Carroll', 'Cary Grant', 'Josephine Hutchinson', 'Eva Marie Saint', 'Edward Platt', 'Philip Ober', 'Robert Ellenstein', 'Les Tremayne', 'Jessie Royce Landis']"
505,who did the casting in North by Northwest?,['Leonard Murphy']
506,Where was North by Northwest made?,"['New York City', 'Chicago', 'Empire State Building']"
507,who is the star in Princess Mononoke?,"['Masahiko Nishimura', 'Mitsuko Mori', 'Tsunehiko Kamijô', 'Kaoru Kobayashi', 'Hisaya Morishige', 'Sumi Shimamoto', 'Yuriko Ishida', 'Makoto Satō', 'Tetsu Watanabe', 'Akihiro Miwa', 'Yōji Matsuda', 'Akira Nagoya', 'Yūko Tanaka']"
508,who performed the cinematography of Princess Mononoke?,['Atsushi Okui']
509,How much was the budget of Princess Mononoke?,['2400000000.0']
510,Whose is Vertigo?,['Alfred Hitchcock']
511,how long is Vertigo?,"['124.0', '128.0', '129.0']"
512,How big was the budget of Vertigo?,['2479000.0']
513,who is the director of Das Boot?,['Wolfgang Petersen']
514,who made the music for Das Boot?,['Klaus Doldinger']
515,What gentre is Das Boot?,"['Drama', 'Action Film', 'Thriller', 'Historical fiction', 'War film', 'Adventure Film', 'Epic film']"
516,who was the art director for Star Wars: Episode VI - Return of the Jedi?,"['Fred Hole', 'James L. Schoppe']"
517,What is the duration of Star Wars: Episode VI - Return of the Jedi?,"['136.0', '135.0', '134.0']"
518,What was the budget for Star Wars: Episode VI - Return of the Jedi?,['32500000.0']
519,who is the producer of Once Upon a Time in America?,['Arnon Milchan']
520,How long does Once Upon a Time in America last?,"['245.0', '229.0', '259.0', '227.0', '269.0', '256.0', '139.0']"
521,How much was the budget of Once Upon a Time in America?,['20000000.0']
522,Whose is Reservoir Dogs?,['Quentin Tarantino']
523,Where was Reservoir Dogs shot?,['Los Angeles']
524,What gentre is Reservoir Dogs?,"['Drama', 'Crime Fiction', 'Thriller', 'Mystery', 'Indie film']"
525,who was the art director for Braveheart?,"['Nathan Crowley', 'Ken Court', 'Daniel T. Dorrance', 'Ned McLoughlin', 'John Lucas']"
526,What is the duration of Braveheart?,"['182.0', '177.0']"
527,What was the budget for Braveheart?,['53000000.0']
528,who is the producer of Toy Story 3?,['Darla K. Anderson']
529,How long does Toy Story 3 last?,"['102.0', '103.0']"
530,What gentre is Toy Story 3?,"['Comedy', 'Animation', 'Comedy-drama', 'Family', 'Fantasy', 'Adventure Film', ""Children's Fantasy"", 'Adventure Comedy']"
531,who was the art director for A Clockwork Orange?,"['Russell Hagg', 'Peter Sheilds']"
532,What is the duration of A Clockwork Orange?,"['137.0', '136.0']"
533,What was the budget for A Clockwork Orange?,['2200000.0']
534,who is the producer of Requiem for a Dream?,"['Palmer West', 'Eric Watson']"
535,How long does Requiem for a Dream last?,"['102.0', '101.0']"
536,How much was the budget of Requiem for a Dream?,['4500000.0']
537,Whose is Taxi Driver?,['Martin Scorsese']
538,how long is Taxi Driver?,"['113.0', '110.0', '114.0']"
539,How big was the budget of Taxi Driver?,['1300000.0']
540,who is the director of Double Indemnity?,['Billy Wilder']
541,who made the music for Double Indemnity?,['Miklós Rózsa']
542,What was the shooting location of Double Indemnity?,['Los Angeles']
543,who is the director of Lawrence of Arabia?,['David Lean']
544,who made the music for Lawrence of Arabia?,['Maurice Jarre']
545,What gentre is Lawrence of Arabia?,"['Drama', 'Historical fiction', 'Biographical film', 'War film', 'Adventure Film']"
546,who was the art director for Eternal Sunshine of the Spotless Mind?,['David Stein']
547,What is the duration of Eternal Sunshine of the Spotless Mind?,"['109.0', '108.0']"
548,What was the budget for Eternal Sunshine of the Spotless Mind?,['20000000.0']
549,who is the producer of Full Metal Jacket?,['Stanley Kubrick']
550,How long does Full Metal Jacket last?,['116.0']
551,What kind of genre is Full Metal Jacket?,"['Drama', 'Action Film', 'War film']"
552,who wrote the soundtrack for Amadeus?,"['Wolfgang Amadeus Mozart', 'Antonio Salieri']"
553,What was the budget for Amadeus?,['18000000.0']
554,What is the rating of Amadeus,"['R (USA)', 'PG (USA)']"
555,How long does The Sting last?,['129.0']
556,How much was the budget of The Sting?,['5500000.0']
557,what was the release date of The Sting?,['1973-12-25']
558,How long does Singin' in the Rain last?,['103.0']
559,What kind of genre is Singin' in the Rain?,"['Comedy', 'Romance Film', 'Musical comedy', 'Musical']"
560,who stars in Bicycle Thieves?,"['Elena Altieri', 'Vittorio Antonucci', 'Lamberto Maggiorani', 'Enzo Staiola', 'Michele Sakara', 'Gino Saltamerenda', 'Fausto Guerzoni', 'Lianella Carell', 'Carlo Jachino', 'Emma Druetti', 'Giulio Chiari']"
561,What gentre is Bicycle Thieves?,"['Drama', 'Crime Fiction']"
562,who stars in 2001: A Space Odyssey?,"['Jonathan Daw', 'Péter Delmár', 'Joe Refalo', 'Andy Wallace', 'Gary Lockwood', 'Vivian Kubrick', 'Burnell Tucker', 'Sheraton Blount', 'Jane Hayward', 'Penny Pearl', 'Krystyna Marr', 'Martin Amor', 'Kenneth Kendall', 'Julie Croft', 'Marcella Markham', 'Ann Bormann', 'Jane Pearl', 'S. Newton Anderson', 'John Clifford', 'John Swindells', 'Kevin Scott', 'Penny Francis', 'Kim Neil', 'Irena Marr', 'John Ashley', 'Glenn Beck', 'Douglas Rain', 'Tony Jackson', 'John Jordan', 'Margaret Tyzack', 'Danny Grover', 'Darryl Paes', 'Frank A. Miller', 'Jimmy Bell', 'Heather Downham', 'David Hines', 'Scott MacKee', 'David Charkham', 'Bill Weston', 'Penny Brahms', 'Ann Gillis', 'Keir Dullea', 'Leonard Rossiter', 'Terry Duggan', 'Sean Sullivan', 'David Fleetwood', 'Mike Lovell', 'Brian Hawley', 'Daniel Richter', 'Richard Woods', 'Laurence Marchant', 'Ed Bishop', 'Bob Wilyman', 'William Sylvester', 'Simon Davis', 'Robert Beatty', 'Arthur C. Clarke', 'Alan Gifford', 'Edwina Carroll']"
563,who wrote the soundtrack for 2001: A Space Odyssey?,"['Richard Strauss', 'Aram Khachaturian', 'György Ligeti', 'Johann Strauss II']"
564,What kind of genre is 2001: A Space Odyssey?,"['Thriller', 'Science Fiction', 'Mystery', 'Adventure Film']"
565,who stars in Snatch.?,"['Eric Meyers', 'Andy Shield', 'John Farnell', 'Alan Ford', 'Yuri Stepanov', 'Michael Hughes', 'Mick Theo', 'Chuck Julian', 'Mickey Cantwell', 'Jim Warren', 'Sol Campbell', 'Peter Rnic', 'Kriss Sprules', 'Julianne Nicholson', 'Elwin Chopper David', 'Tony Tang', 'Christopher Fosh', 'Tom Delmar', 'Dean Batchelor', 'Guy Ritchie', 'Andy Skinner', 'Mike Reid', 'Sam Douglas', 'Jason Buckham', 'Trevor Steedman', 'Ronald Isaac', 'Nicola Collins', 'Dennis Farina', 'Benicio del Toro', 'Shaun Pearson', 'James Cunningham', 'Adam Fogerty', 'Scott Welch', 'Charles Cork', 'William Beck', 'Ade', 'Peter Szakacs', 'Andy Till', 'Andy Beckwith', 'Jimmy Roussounis', 'Tim Faraday', 'Sidney Sedin', 'Robbie Gee', 'Rade Šerbedžija', 'Brad Pitt', 'Dave Legeno', 'Ewen Bremner', 'Sid Hoare', 'Goldie', ""Paul O'Boyle"", 'Dean Smith', 'Sorcha Cusack', 'Lennie James', 'Joe Williams', 'Jason Flemyng', 'Austin Drage', 'Roy Snell', 'Stephen Graham', 'John Taheny', 'Jason Ninh Cao', 'Vinnie Jones', 'Mickey Dee', 'Liam Donaghy', 'Velibor Topić', 'Teena Collins', 'Liam McMahon', 'Jason Statham']"
566,who did the casting in Snatch.?,['Lucinda Syson']
567,What genre is Snatch.?,"['Comedy', 'Crime Fiction', 'Thriller']"
568,who is the star in Monty Python and the Holy Grail?,"['Gloria Graham', 'William Palin', 'Joni Flynn', 'Graham Chapman', 'Michael Palin', 'Alison Walker', 'Maggie Weston', 'Tom Raeburn', 'Zack Matalon', 'Charles Knode', 'Margarita Doyle', 'Roy Forge Smith', 'Julian Doyle', 'Fiona Gordon', 'Terry Gilliam', 'Sandy Johnson', 'Terry Jones', 'Eric Idle', 'Tracy Sneddon', 'John Cleese', 'Connie Booth', 'Elspeth Cameron', 'Carol Cleveland', 'Mary Allen', 'John Young', 'Bee Duffell', 'Mark Zycon', 'Mitsuko Forstater', 'Judy Lamb', 'Daphne Darling', 'Neil Innes', 'Sylvia Taylor', 'Sally Coombe', 'Vivienne MacDonald', 'Rita Davies', 'Joyce Pollner', 'Anna Lanski', 'Loraine Ward', 'Sally Kinghorn', 'Sandy Rose', 'Avril Stewart', 'Romilly Squire', 'Yvonne Dick']"
569,who wrote the soundtrack for Monty Python and the Holy Grail?,['Neil Innes']
570,What kind of genre is Monty Python and the Holy Grail?,"['Comedy', 'Action/Adventure', 'Fantasy', 'Adventure Film', 'Parody', 'Cult film', 'Costume drama']"
571,who stars in The Kid?,"['Henry Bergman', 'Jackie Coogan', 'Baby Hathaway', 'Raymond Lee', 'Charlie Chaplin', 'Edna Purviance', 'Charles Reisner', 'Jack Coogan Sr.', 'Tom Wilson', 'May White', 'Granville Redmond', 'Carl Miller', 'Lita Grey']"
572,who wrote the soundtrack for The Kid?,['Charlie Chaplin']
573,who stars in Toy Story?,"['Sarah Freeman', 'Andrew Stanton', 'Debi Derryberry', 'John Ratzenberger', 'Jeff Pidgeon', 'John Morris', 'Kendall Cunningham', 'Jim Varney', 'Annie Potts', 'Wallace Shawn', 'Penn Jillette', 'Lisa Bradley', 'Greg Berg', 'Philip Proctor', 'Tom Hanks', 'Mickie McGowan', 'Don Rickles', 'Laurie Metcalf', 'Tim Allen', 'Gregory Grudt', 'Jack Angel', 'Spencer Aste', 'Shane Sweet', 'Joe Ranft', 'R. Lee Ermey', 'Patrick Pinney', ""Ryan O'Donohue"", 'Sherry Lynn', 'Jan Rabson', 'Brittany Levenbrown', 'Danielle Judovits', 'Erik von Detten', 'Sam Lasseter', 'Cody Dorkin', 'Craig Good', 'Scott McAfee', 'Bill Farmer']"
574,who made the music for Toy Story?,['Randy Newman']
575,What gentre is Toy Story?,"['Comedy', 'Animation', 'Family', 'Fantasy', 'Adventure Film', 'Buddy film']"
576,who was the art director for L.A. Confidential?,['William David Arnold']
577,What is the duration of L.A. Confidential?,"['135.0', '137.0', '136.0', '138.0']"
578,What was the budget for L.A. Confidential?,['35000000.0']
579,who is the producer of For a Few Dollars More?,"['Alberto Grimaldi', 'Arturo González']"
580,How big was the budget of For a Few Dollars More?,['600000.0']
581,when was For a Few Dollars More released?,['1965-12-18']
582,How long does Rashomon last?,['88.0']
583,What kind of genre is Rashomon?,"['Drama', 'Crime Fiction', 'Mystery']"
584,who stars in Inglourious Basterds?,"['Julie Dreyfus', 'Martin Wuttke', 'Wilfried Hochholdinger', 'Andreas Tietz', 'Alexander Fehling', 'Michael Scheel', 'Omar Doom', 'Brendan Potter', 'Ken Duken', 'Alex Boden', 'Niko Novick', 'Noémi Besedes', 'Michael August', 'Aleksandrs Petukhovs', 'Andrew Napier', 'Samuel L. Jackson', 'Helene Cardona', 'Jake Garber', 'Bela B.', 'Vitus Wieser', 'Gregory Nicotero', 'Guido Föhrweißer', 'Sabrina Rattey', 'Lena Friedrich', 'Patrick Elias', 'Sönke Möhring', 'Leo Plank', 'Bo Svenson', 'Rod Taylor', 'Christian Brückner', 'August Diehl', 'Daniel Brühl', 'Cloris Leachman', 'Paul Rust', 'Jacky Ido', 'Buddy Joe Hooker', 'B. J. Novak', 'Christian Berkel', 'Denis Ménochet', 'Gedeon Burkhard', 'Mélanie Laurent', 'Brad Pitt', 'Til Schweiger', 'Michael Bacall', 'Eli Roth', 'Maggie Cheung', 'Samm Levine', 'Hilmar Eichhorn', 'Anne-Sophie Franck', 'Sebastian Hülk', 'Carlos Fidel', 'André Penvern', 'Volker Michalowski', 'Ludger Pistor', 'Enzo G. Castellari', 'Jana Pallaske', 'Jasper Linnewedel', 'Léa Seydoux', 'Michael Kranz', 'Diane Kruger', 'Petra Hartung', 'Wolfgang Lindner', 'Michael Fassbender', 'Salvadore Brandt', 'Olivier Girard', 'Arndt Schwering-Sohnrey', 'Quentin Tarantino', 'Richard Sammel', 'Eva Löbau', 'Harvey Keitel', 'Rainer Bock', 'Sylvester Groth', 'Christoph Waltz', 'Tina Rodriguez', 'Mike Myers']"
585,What was the shooting location of Inglourious Basterds?,"['Babelsberg Studio', 'Berlin', 'Germany', 'Paris', 'Rüdersdorf', 'Görlitz', 'Nauen', 'Bad Schandau', 'Sebnitz', 'Babelsberg', 'Elbe Sandstone Mountains', 'Krampnitz']"
586,What genre is Inglourious Basterds?,"['Drama', 'Action Film', 'War film', 'Adventure Film', 'Black comedy']"
587,When was Akira Kurosawa born?,['1910-03-23']
588,What is Alain Sarde's birth place?,['Boulogne-Billancourt']
589,"What is Alan Ladd, Jr.'s birth place?",['Los Angeles']
590,When was Alberto Grimaldi born?,['1925-03-28']
591,Where did Al Ernest Garcia die?,['Los Angeles']
592,Where did Alfred Hitchcock die?,['Bel-Air']
593,Who are the parents of Alfred Hitchcock?,"['Emma Jane Hitchcock', 'William Hitchcock']"
594,Who is Amanda Plummer's mother?,['Tammy Grimes']
595,Who is Andrew Stanton married to?,['Julie Stanton']
596,When was Arnon Milchan born?,['1944-12-06']
597,Who is Arthur Freed married to?,['Renée Klein']
598,When was Bill Gratton born?,['1948-02-29']
599,What is Billy Dee Williams's nationality?,['United States of America']
600,How did Billy Wilder die?,['Pneumonia']
601,Who are the parents of Billy Wilder?,"['Eugenia Wilder', 'Max Wilder']"
602,What is Bob Gale's nationality?,['United States of America']
603,Who is Brad Grey married to?,"['Jill Gutterson', 'Cassandra Huysentuyt']"
604,How tall is Brad Pitt?,['1.8']
605,Where was Bret McKenzie born?,['Wellington']
606,Where did Bruce Boa die?,['Surrey']
607,What is Bruce Cohen's birth place?,['Falls Church']
608,Where was Bryan Singer born?,['New York City']
609,Where was Charlie Chaplin born?,['Walworth']
610,How high is Charlie Chaplin?,['1.65']
611,When was Christopher Nolan born?,['1970-07-30']
612,What is Curtis Hanson's birth place?,['Reno']
613,Who is Curtis Hanson's father?,['Wilbur Hale Hanson']
614,Where is Dan Butler from?,['Huntington']
615,Where is Darren Aronofsky from?,['Brooklyn']
616,Who is Darren Aronofsky married to?,"['Rachel Weisz', 'Brandi Milbradt']"
617,How tall is David Fincher?,['1.84']
618,How high is David Lean?,['1.85']
619,When was Deirdre O'Connell born?,['1939-06-16']
620,Who is Deirdre O'Connell married to?,['Luke Kelly']
621,Where was Don Hahn born?,['Chicago']
622,What is Douglas Wick's birth place?,['United States of America']
623,When was Eddie Powell born?,['1927-03-09']
624,What is Elena Altieri's nationality?,"['Italy', 'Kingdom of Italy']"
625,How did Eli Wallach die?,['Natural causes']
626,Who is Eli Wallach's father?,['Abraham Wallach']
627,How tall is Ethan Suplee?,['1.854']
628,Where was Florian Henckel von Donnersmarck born?,['Cologne']
629,Who is Florian Henckel von Donnersmarck married to?,['Christiane Asschenfeldt']
630,Where was Franco Cristaldi born?,['Turin']
631,When was Frank Capra born?,['1897-05-18']
632,What is Frank Capra's nationality?,"['United States of America', 'Italy']"
633,Who is Frank Darabont married to?,['Karyn Wagner']
634,Who is Frank Marshall's father?,['Jack Marshall']
635,Who is Fran Walsh married to?,['Peter Jackson']
636,How high is Gale Anne Hurd?,['1.63']
637,When was Gary Kurtz born?,['1940-07-27']
638,Who is Gary Kurtz's mother?,['Sarah H. Kurtz']
639,Who is Gene Kelly's father?,['James Kelly']
640,Where is George Lucas from?,['Modesto']
641,Who is George Lucas married to?,"['Marcia Lucas', 'Mellody Hobson']"
642,Where did George Roy Hill die?,['New York City']
643,Who is George Roy Hill married to?,['Louisa Horton Hill']
644,What is Giuseppe Amato's nationality?,['Italy']
645,Where was Guy Ritchie born?,"['Hatfield, Hertfordshire']"
646,Who are the parents of Guy Ritchie?,"['John Vivian Ritchie', 'Amber Parkinson']"
647,What is Hayao Miyazaki's nationality?,['Japan']
648,How did Henry Bergman die?,['Myocardial infarction']
649,What is Howard Kazanjian's nationality?,['United States of America']
650,Where did Ian Bannen die?,['Loch Ness']
651,What is Irvin Kershner's nationality?,['United States of America']
652,Who are the parents of Irwin Winkler?,"['Anna Winkler', 'Sol Winkler']"
653,What is Isao Takahata's nationality?,['Japan']
654,Who is James Cameron's mother?,['Shirley Cameron']
655,How did Jane Russell die?,['Respiratory failure']
656,Who is Jane Russell's father?,['Roy William Russell']
657,What is Joel Silver's nationality?,['United States of America']
658,Where was John Lasseter born?,['Hollywood']
659,Who is John Lasseter married to?,['Nancy Lasseter']
660,How tall is John Rhys-Davies?,['1.85']
661,Where was Jonathan Demme born?,['Baldwin']
662,Who is Jonathan Demme married to?,"['Joanne Howard', 'Evelyn Purcell']"
